subjectID,activity,feature,mean,std
1,LAYING,fBodyAcc-mean()-X,-0.9390990524,0.10372451257398728
1,LAYING,fBodyAcc-mean()-Y,-0.86706520518,0.2696661369659624
1,LAYING,fBodyAcc-mean()-Z,-0.8826668762000001,0.19987340036268897
1,LAYING,fBodyAcc-std()-X,-0.9244374346,0.13010781228693352
1,LAYING,fBodyAcc-std()-Y,-0.8336255561,0.3397886456364256
1,LAYING,fBodyAcc-std()-Z,-0.81289155944,0.30905108536180514
1,LAYING,fBodyAccJerk-mean()-X,-0.9570738838,0.07845604862970061
1,LAYING,fBodyAccJerk-mean()-Y,-0.9224626097999999,0.1689988645304922
1,LAYING,fBodyAccJerk-mean()-Z,-0.9480609042,0.09911452490060377
1,LAYING,fBodyAccJerk-std()-X,-0.9641607086,0.06434234703454766
1,LAYING,fBodyAccJerk-std()-Y,-0.9322178704,0.1449397408815572
1,LAYING,fBodyAccJerk-std()-Z,-0.9605869872,0.07695524974195717
1,LAYING,fBodyAccMag-mean(),-0.8617676481,0.2334342019157359
1,LAYING,fBodyAccMag-std(),-0.7983009404,0.3463922563213106
1,LAYING,fBodyBodyAccJerkMag-mean(),-0.9333003608,0.14377470775517032
1,LAYING,fBodyBodyAccJerkMag-std(),-0.9218039756,0.1653899191385888
1,LAYING,fBodyBodyGyroJerkMag-mean(),-0.9423669466,0.11946840367365733
1,LAYING,fBodyBodyGyroJerkMag-std(),-0.9326606676,0.139997579985082
1,LAYING,fBodyBodyGyroMag-mean(),-0.8621901854,0.2542392376648463
1,LAYING,fBodyBodyGyroMag-std(),-0.82431943968,0.3017672980731509
1,LAYING,fBodyGyro-mean()-X,-0.850249174586,0.2866761686029491
1,LAYING,fBodyGyro-mean()-Y,-0.9521914948,0.08936288143822065
1,LAYING,fBodyGyro-mean()-Z,-0.909302721,0.1388583133145052
1,LAYING,fBodyGyro-std()-X,-0.8822964508,0.21818891020909303
1,LAYING,fBodyGyro-std()-Y,-0.9512320494,0.08692657946173227
1,LAYING,fBodyGyro-std()-Z,-0.9165825082,0.12460690725965039
1,LAYING,tBodyAcc-mean()-X,0.22159824394,0.1689303852154454
1,LAYING,tBodyAcc-mean()-Y,-0.0405139534294,0.11867580295627805
1,LAYING,tBodyAcc-mean()-Z,-0.11320355358,0.17404709012310424
1,LAYING,tBodyAcc-std()-X,-0.9280564692,0.12295740194912202
1,LAYING,tBodyAcc-std()-Y,-0.83682740562,0.3311774840073365
1,LAYING,tBodyAcc-std()-Z,-0.826061401628,0.288552886794704
1,LAYING,tBodyAccJerk-mean()-X,0.0810865342,0.052856544758811866
1,LAYING,tBodyAccJerk-mean()-Y,0.0038382040088000002,0.09859391877246988
1,LAYING,tBodyAccJerk-mean()-Z,0.010834236361,0.1143528219304249
1,LAYING,tBodyAccJerk-std()-X,-0.958482112,0.07521859698375984
1,LAYING,tBodyAccJerk-std()-Y,-0.9241492736,0.16377164906655375
1,LAYING,tBodyAccJerk-std()-Z,-0.9548551108,0.08807632254456857
1,LAYING,tBodyAccJerkMag-mean(),-0.9543962646,0.09049600872034695
1,LAYING,tBodyAccJerkMag-std(),-0.9282456284,0.15403948421909266
1,LAYING,tBodyAccMag-mean(),-0.8419291525,0.2886131229297004
1,LAYING,tBodyAccMag-std(),-0.79514486386,0.34981224789847
1,LAYING,tBodyGyro-mean()-X,-0.016553093978,0.07717950310808523
1,LAYING,tBodyGyro-mean()-Y,-0.064486124088,0.059640408354351485
1,LAYING,tBodyGyro-mean()-Z,0.14868943626,0.16227989865226464
1,LAYING,tBodyGyro-std()-X,-0.87354386782,0.23421729111206036
1,LAYING,tBodyGyro-std()-Y,-0.9510904402,0.0880388476633163
1,LAYING,tBodyGyro-std()-Z,-0.9082846626,0.13736305008916974
1,LAYING,tBodyGyroJerk-mean()-X,-0.107270949192,0.1538086889546936
1,LAYING,tBodyGyroJerk-mean()-Y,-0.04151728689,0.040313622002738504
1,LAYING,tBodyGyroJerk-mean()-Z,-0.0740501211,0.056779435294338224
1,LAYING,tBodyGyroJerk-std()-X,-0.9186085208,0.17256426086498367
1,LAYING,tBodyGyroJerk-std()-Y,-0.9679072436,0.06612016235484837
1,LAYING,tBodyGyroJerk-std()-Z,-0.9577901596,0.07925407122058324
1,LAYING,tBodyGyroJerkMag-mean(),-0.96346103,0.07486157545141224
1,LAYING,tBodyGyroJerkMag-std(),-0.9358409827999999,0.13285207602158058
1,LAYING,tBodyGyroMag-mean(),-0.874759548,0.16644238761427857
1,LAYING,tBodyGyroMag-std(),-0.81901016976,0.31538245845808033
1,LAYING,tGravityAcc-mean()-X,-0.24888179828,0.220289463378822
1,LAYING,tGravityAcc-mean()-Y,0.70554977346,0.28205438640013564
1,LAYING,tGravityAcc-mean()-Z,0.4458177198,0.38832118296986373
1,LAYING,tGravityAcc-std()-X,-0.8968300184,0.18736217344002115
1,LAYING,tGravityAcc-std()-Y,-0.90772000676,0.2250128963773123
1,LAYING,tGravityAcc-std()-Z,-0.85236629022,0.2895709663996193
1,LAYING,tGravityAccMag-mean(),-0.8419291525,0.2886131229297004
1,LAYING,tGravityAccMag-std(),-0.79514486386,0.34981224789847
1,SITTING,fBodyAcc-mean()-X,-0.9796412387234043,0.043736054058044246
1,SITTING,fBodyAcc-mean()-Y,-0.944084550425532,0.1065954517835796
1,SITTING,fBodyAcc-mean()-Z,-0.9591848891489362,0.0903325248881366
1,SITTING,fBodyAcc-std()-X,-0.9764123131914894,0.054672217913608795
1,SITTING,fBodyAcc-std()-Y,-0.9172750063829788,0.1619811643830796
1,SITTING,fBodyAcc-std()-Z,-0.9344695580851063,0.1502842541313273
1,SITTING,fBodyAccJerk-mean()-X,-0.9865970225531915,0.02657641470029964
1,SITTING,fBodyAccJerk-mean()-Y,-0.9815794670212766,0.029534925099336275
1,SITTING,fBodyAccJerk-mean()-Z,-0.9860530923404255,0.020334886597660008
1,SITTING,fBodyAccJerk-std()-X,-0.9874929944680851,0.02545865460404591
1,SITTING,fBodyAccJerk-std()-Y,-0.982513909574468,0.02922434271435299
1,SITTING,fBodyAccJerk-std()-Z,-0.988339184893617,0.018362591849997043
1,SITTING,fBodyAccMag-mean(),-0.9477829225531915,0.11619357766633676
1,SITTING,fBodyAccMag-std(),-0.9284448017021276,0.16738617559400287
1,SITTING,fBodyBodyAccJerkMag-mean(),-0.9852621268085107,0.03053863416080595
1,SITTING,fBodyBodyAccJerkMag-std(),-0.9816061774468084,0.04252964043552743
1,SITTING,fBodyBodyGyroJerkMag-mean(),-0.9897975472340426,0.02639026867573453
1,SITTING,fBodyBodyGyroJerkMag-std(),-0.9870496172340426,0.03672283229185925
1,SITTING,fBodyBodyGyroMag-mean(),-0.9584355893617021,0.07952501627901837
1,SITTING,fBodyBodyGyroMag-std(),-0.932198374893617,0.1514743707616772
1,SITTING,fBodyGyro-mean()-X,-0.9761614640425532,0.051769838697312415
1,SITTING,fBodyGyro-mean()-Y,-0.9758385853191489,0.06204914243013549
1,SITTING,fBodyGyro-mean()-Z,-0.9513155444680851,0.07735840171852844
1,SITTING,fBodyGyro-std()-X,-0.9779042270212766,0.05711347915243084
1,SITTING,fBodyGyro-std()-Y,-0.9623450425531915,0.11966077131378156
1,SITTING,fBodyGyro-std()-Z,-0.9439178410638298,0.10024398691174882
1,SITTING,tBodyAcc-mean()-X,0.2612375654255319,0.06332965653063703
1,SITTING,tBodyAcc-mean()-Y,-0.001308287651702128,0.04746529693686532
1,SITTING,tBodyAcc-mean()-Z,-0.10454418225531915,0.04215941175497101
1,SITTING,tBodyAcc-std()-X,-0.9772290082978723,0.05169682256562471
1,SITTING,tBodyAcc-std()-Y,-0.9226186419148936,0.15186647101585762
1,SITTING,tBodyAcc-std()-Z,-0.9395862910638297,0.13836067859456191
1,SITTING,tBodyAccJerk-mean()-X,0.0774825199574468,0.02388111020045547
1,SITTING,tBodyAccJerk-mean()-Y,-6.191027851063836e-4,0.07065568957585401
1,SITTING,tBodyAccJerk-mean()-Z,-0.0033677923502127664,0.07478847812289634
1,SITTING,tBodyAccJerk-std()-X,-0.9864307112765958,0.02719630186810448
1,SITTING,tBodyAccJerk-std()-Y,-0.9813719653191489,0.030343160094828694
1,SITTING,tBodyAccJerk-std()-Z,-0.9879108044680851,0.01928551926094762
1,SITTING,tBodyAccJerkMag-mean(),-0.9873641955319149,0.022930168299875243
1,SITTING,tBodyAccJerkMag-std(),-0.9841200240425532,0.036171354342363404
1,SITTING,tBodyAccMag-mean(),-0.9485367861702128,0.11126472030044512
1,SITTING,tBodyAccMag-std(),-0.9270784187234042,0.16997936981959805
1,SITTING,tBodyGyro-mean()-X,-0.04535005651276596,0.04629535085207776
1,SITTING,tBodyGyro-mean()-Y,-0.0919241549361702,0.06180324677419212
1,SITTING,tBodyGyro-mean()-Z,0.06293138119148936,0.18348802834499428
1,SITTING,tBodyGyro-std()-X,-0.9772112831914893,0.056615756753795404
1,SITTING,tBodyGyro-std()-Y,-0.966473895319149,0.10198532750117938
1,SITTING,tBodyGyro-std()-Z,-0.9414259208510638,0.10246335636849198
1,SITTING,tBodyGyroJerk-mean()-X,-0.09367938072340426,0.02222873374993545
1,SITTING,tBodyGyroJerk-mean()-Y,-0.040211812425531915,0.013638721422494457
1,SITTING,tBodyGyroJerk-mean()-Z,-0.046702627,0.039056115541415616
1,SITTING,tBodyGyroJerk-std()-X,-0.9917315921276596,0.022603630355125134
1,SITTING,tBodyGyroJerk-std()-Y,-0.9895180685106383,0.02454346136476582
1,SITTING,tBodyGyroJerk-std()-Z,-0.9879358063829787,0.029652136453421348
1,SITTING,tBodyGyroJerkMag-mean(),-0.9919763412765957,0.019798696598868914
1,SITTING,tBodyGyroJerkMag-std(),-0.9883087285106383,0.03230514056694141
1,SITTING,tBodyGyroMag-mean(),-0.93089249,0.10876938322159481
1,SITTING,tBodyGyroMag-std(),-0.934531840425532,0.14219568167313162
1,SITTING,tGravityAcc-mean()-X,0.8315099334042553,0.0906413306571272
1,SITTING,tGravityAcc-mean()-Y,0.20441159268085107,0.1113232231386687
1,SITTING,tGravityAcc-mean()-Z,0.33204370276595746,0.0699070674840087
1,SITTING,tGravityAcc-std()-X,-0.9684571457446809,0.07179752568027392
1,SITTING,tGravityAcc-std()-Y,-0.9355170559574468,0.13800913976514878
1,SITTING,tGravityAcc-std()-Z,-0.9490409331914894,0.11922465321138039
1,SITTING,tGravityAccMag-mean(),-0.9485367861702128,0.11126472030044512
1,SITTING,tGravityAccMag-std(),-0.9270784187234042,0.16997936981959805
1,STANDING,fBodyAcc-mean()-X,-0.9952499326415094,0.004095636355239354
1,STANDING,fBodyAcc-mean()-Y,-0.9770708477358491,0.02226541083098277
1,STANDING,fBodyAcc-mean()-Z,-0.9852970986792453,0.01479163623465341
1,STANDING,fBodyAcc-std()-X,-0.9960283450943396,0.005814134121010497
1,STANDING,fBodyAcc-std()-Y,-0.9722931020754717,0.040125647431774346
1,STANDING,fBodyAcc-std()-Z,-0.9779372596226416,0.03153099076968673
1,STANDING,fBodyAccJerk-mean()-X,-0.9946307973584906,0.0026771289494819713
1,STANDING,fBodyAccJerk-mean()-Y,-0.9854187045283019,0.007592529288396076
1,STANDING,fBodyAccJerk-mean()-Z,-0.9907521660377359,0.003854915522884799
1,STANDING,fBodyAccJerk-std()-X,-0.9950737592452831,0.0025234627173419412
1,STANDING,fBodyAccJerk-std()-Y,-0.9870182267924529,0.007286316884511565
1,STANDING,fBodyAccJerk-std()-Z,-0.9923498181132075,0.0030812663494851223
1,STANDING,fBodyAccMag-mean(),-0.9853563611320755,0.019936306741361796
1,STANDING,fBodyAccMag-std(),-0.9823138047169812,0.03257724411779047
1,STANDING,fBodyBodyAccJerkMag-mean(),-0.9925424775471698,0.00541951560706372
1,STANDING,fBodyBodyAccJerkMag-std(),-0.9925360033962264,0.004726953921089939
1,STANDING,fBodyBodyGyroJerkMag-mean(),-0.9948153769811321,0.004904131433357447
1,STANDING,fBodyBodyGyroJerkMag-std(),-0.9946711232075471,0.0057246066619767964
1,STANDING,fBodyBodyGyroMag-mean(),-0.9846176233962264,0.01986293301722243
1,STANDING,fBodyBodyGyroMag-std(),-0.9784660720754716,0.028510816312113996
1,STANDING,fBodyGyro-mean()-X,-0.9863867860377359,0.009694719216966758
1,STANDING,fBodyGyro-mean()-Y,-0.9889844558490566,0.011842146039026072
1,STANDING,fBodyGyro-mean()-Z,-0.9807731228301887,0.02240893824769143
1,STANDING,fBodyGyro-std()-X,-0.9874971286792453,0.01045733904127127
1,STANDING,fBodyGyro-std()-Y,-0.9871077277358491,0.01471790589974173
1,STANDING,fBodyGyro-std()-Z,-0.98234533,0.022499164738285542
1,STANDING,tBodyAcc-mean()-X,0.2789176290566038,0.007991828131751758
1,STANDING,tBodyAcc-mean()-Y,-0.016137590103773584,0.010908212196831125
1,STANDING,tBodyAcc-mean()-Z,-0.11060181773584905,0.013167587057667155
1,STANDING,tBodyAcc-std()-X,-0.9957599015094339,0.005274139322933099
1,STANDING,tBodyAcc-std()-Y,-0.9731900564150944,0.03633164163789274
1,STANDING,tBodyAcc-std()-Z,-0.9797758769811321,0.027448108490940582
1,STANDING,tBodyAccJerk-mean()-X,0.0753766542264151,0.004323098078665019
1,STANDING,tBodyAccJerk-mean()-Y,0.007975730928301887,0.018569794058547764
1,STANDING,tBodyAccJerk-mean()-Z,-0.0036852495470943397,0.018376250359489834
1,STANDING,tBodyAccJerk-std()-X,-0.994604542264151,0.002653112933525623
1,STANDING,tBodyAccJerk-std()-Y,-0.9856487324528302,0.0076608451981939945
1,STANDING,tBodyAccJerk-std()-Z,-0.9922511773584906,0.003269325082837392
1,STANDING,tBodyAccJerkMag-mean(),-0.9923677905660377,0.00369757377937855
1,STANDING,tBodyAccJerkMag-std(),-0.9930962094339623,0.0050794746268560745
1,STANDING,tBodyAccMag-mean(),-0.9842782073584906,0.022333271302715185
1,STANDING,tBodyAccMag-std(),-0.9819429288679246,0.03201965322477585
1,STANDING,tBodyGyro-mean()-X,-0.02398773479792453,0.010002811453198738
1,STANDING,tBodyGyro-mean()-Y,-0.05939722098113208,0.05294857932684504
1,STANDING,tBodyGyro-mean()-Z,0.074800751,0.05816375646863501
1,STANDING,tBodyGyro-std()-X,-0.9871919466037736,0.010329802208183837
1,STANDING,tBodyGyro-std()-Y,-0.98773444,0.01365514034049802
1,STANDING,tBodyGyro-std()-Z,-0.9806456269811321,0.02404925378282874
1,STANDING,tBodyGyroJerk-mean()-X,-0.09960921290566038,0.006991690165762791
1,STANDING,tBodyGyroJerk-mean()-Y,-0.04406278779245283,0.010348405983623478
1,STANDING,tBodyGyroJerk-mean()-Z,-0.04895054667169811,0.01626436351309661
1,STANDING,tBodyGyroJerk-std()-X,-0.992945106981132,0.0041384711467329
1,STANDING,tBodyGyroJerk-std()-Y,-0.9951379173584906,0.004214936612796552
1,STANDING,tBodyGyroJerk-std()-Z,-0.9921084671698113,0.007047881017734327
1,STANDING,tBodyGyroJerkMag-mean(),-0.9949667905660378,0.003972221007653995
1,STANDING,tBodyGyroJerkMag-std(),-0.9947332386792452,0.005380550698621349
1,STANDING,tBodyGyroMag-mean(),-0.9764937928301887,0.03352710433596895
